"Journal" "Ais" "Ford" "Quantile" "Quantile 2017"
"VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY" 0.466 "VETERINARY_SCIENCE" 0.241 0.314
"LAB ANIMAL" 0.451 "VETERINARY_SCIENCE" 0.248 0.586
"JOURNAL OF WILDLIFE DISEASES" 0.447 "VETERINARY_SCIENCE" 0.255 0.264
"RESEARCH IN VETERINARY SCIENCE" 0.443 "VETERINARY_SCIENCE" 0.262 0.25
"ANIMAL WELFARE" 0.443 "VETERINARY_SCIENCE" 0.27 0.171
"VETERINARY DERMATOLOGY" 0.439 "VETERINARY_SCIENCE" 0.277 0.329
"IRISH VETERINARY JOURNAL" 0.439 "VETERINARY_SCIENCE" 0.284 0.336
"JOURNAL OF SMALL ANIMAL PRACTICE" 0.438 "VETERINARY_SCIENCE" 0.291 0.35
"JOURNAL OF FISH DISEASES" 0.436 "VETERINARY_SCIENCE" 0.298 0.3
"JOURNAL OF VETERINARY DIAGNOSTIC INVESTIGATION" 0.432 "VETERINARY_SCIENCE" 0.305 0.307
"JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE" 0.43 "VETERINARY_SCIENCE" 0.312 0.421
"NEW ZEALAND VETERINARY JOURNAL" 0.425 "VETERINARY_SCIENCE" 0.319 0.293
"JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION" 0.421 "VETERINARY_SCIENCE" 0.326 0.286
"JOURNAL OF SWINE HEALTH AND PRODUCTION" 0.418 "VETERINARY_SCIENCE" 0.333 0.357
"JOURNAL OF VETERINARY SCIENCE" 0.411 "VETERINARY_SCIENCE" 0.34 0.443
"JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE" 0.409 "VETERINARY_SCIENCE" 0.348 0.321
"VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE" 0.409 "VETERINARY_SCIENCE" 0.355 0.493
"ANTHROZOOS" 0.404 "VETERINARY_SCIENCE" 0.362 0.271
"REPRODUCTION IN DOMESTIC ANIMALS" 0.395 "VETERINARY_SCIENCE" 0.369 0.407
"REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES" 0.392 "VETERINARY_SCIENCE" 0.376 0.279
"REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA" 0.39 "VETERINARY_SCIENCE" 0.383 0.414
"JOURNAL OF COMPARATIVE PATHOLOGY" 0.378 "VETERINARY_SCIENCE" 0.39 0.393
"AVIAN DISEASES" 0.376 "VETERINARY_SCIENCE" 0.397 0.386
"VETERINARY SURGERY" 0.372 "VETERINARY_SCIENCE" 0.404 0.4
"JOURNAL OF FELINE MEDICINE AND SURGERY" 0.368 "VETERINARY_SCIENCE" 0.411 0.343
"JOURNAL OF VETERINARY BEHAVIOR-CLINICAL APPLICATIONS AND RESEARCH" 0.367 "VETERINARY_SCIENCE" 0.418 0.186
"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH" 0.366 "VETERINARY_SCIENCE" 0.426 0.457
"EXPERIMENTAL ANIMALS" 0.35 "VETERINARY_SCIENCE" 0.433 0.45
"AMERICAN JOURNAL OF VETERINARY RESEARCH" 0.35 "VETERINARY_SCIENCE" 0.44 0.379
"JOURNAL OF THE SOUTH AFRICAN VETERINARY ASSOCIATION" 0.342 "VETERINARY_SCIENCE" 0.447 0.593
"VETERINARY RESEARCH COMMUNICATIONS" 0.341 "VETERINARY_SCIENCE" 0.454 0.257
"JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE" 0.337 "VETERINARY_SCIENCE" 0.461 0.464
"ZOO BIOLOGY" 0.334 "VETERINARY_SCIENCE" 0.468 0.5
"CANADIAN JOURNAL OF VETERINARY RESEARCH-REVUE CANADIENNE DE RECHERCHE VETERINAIRE" 0.334 "VETERINARY_SCIENCE" 0.475 0.471
"VETERINARY RADIOLOGY & ULTRASOUND" 0.328 "VETERINARY_SCIENCE" 0.482 0.429
"JOURNAL OF THE AMERICAN ANIMAL HOSPITAL ASSOCIATION" 0.32 "VETERINARY_SCIENCE" 0.489 0.514
"JOURNAL OF VETERINARY CARDIOLOGY" 0.315 "VETERINARY_SCIENCE" 0.496 0.229
"JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS" 0.313 "VETERINARY_SCIENCE" 0.504 0.364
"TOPICS IN COMPANION ANIMAL MEDICINE" 0.308 "VETERINARY_SCIENCE" 0.511 0.371
"COMPARATIVE MEDICINE" 0.306 "VETERINARY_SCIENCE" 0.518 0.564
"VETERINARY OPHTHALMOLOGY" 0.303 "VETERINARY_SCIENCE" 0.525 0.479
"JOURNAL OF AQUATIC ANIMAL HEALTH" 0.303 "VETERINARY_SCIENCE" 0.532 0.557
"AUSTRALIAN VETERINARY JOURNAL" 0.302 "VETERINARY_SCIENCE" 0.539 0.507
"ITALIAN JOURNAL OF ANIMAL SCIENCE" 0.294 "VETERINARY_SCIENCE" 0.546 0.55
"VETERINARY CLINICAL PATHOLOGY" 0.286 "VETERINARY_SCIENCE" 0.553 0.436
"TROPICAL ANIMAL HEALTH AND PRODUCTION" 0.276 "VETERINARY_SCIENCE" 0.56 0.536
"JOURNAL OF VETERINARY MEDICAL SCIENCE" 0.268 "VETERINARY_SCIENCE" 0.567 0.607
"VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY" 0.257 "VETERINARY_SCIENCE" 0.574 0.486
"CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE" 0.25 "VETERINARY_SCIENCE" 0.582 0.614
"VETERINARIA ITALIANA" 0.248 "VETERINARY_SCIENCE" 0.589 0.571
"SOCIETY & ANIMALS" 0.233 "VETERINARY_SCIENCE" 0.596 0.521
"ACTA VETERINARIA HUNGARICA" 0.23 "VETERINARY_SCIENCE" 0.603 0.543
"JOURNAL OF MEDICAL PRIMATOLOGY" 0.222 "VETERINARY_SCIENCE" 0.61 0.636
"POLISH JOURNAL OF VETERINARY SCIENCES" 0.218 "VETERINARY_SCIENCE" 0.617 0.686
"REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE" 0.217 "VETERINARY_SCIENCE" 0.624 0.671
"JOURNAL OF EQUINE VETERINARY SCIENCE" 0.213 "VETERINARY_SCIENCE" 0.631 0.621
"EQUINE VETERINARY EDUCATION" 0.208 "VETERINARY_SCIENCE" 0.638 0.629
"JAPANESE JOURNAL OF VETERINARY RESEARCH" 0.206 "VETERINARY_SCIENCE" 0.645 0.579
"JOURNAL OF VETERINARY RESEARCH" 0.195 "VETERINARY_SCIENCE" 0.652 0.721
"JOURNAL OF ZOO AND WILDLIFE MEDICINE" 0.195 "VETERINARY_SCIENCE" 0.66 0.643
"BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT" 0.195 "VETERINARY_SCIENCE" 0.667 0.657
"VETERINARNI MEDICINA" 0.191 "VETERINARY_SCIENCE" 0.674 0.693
"ANATOMIA HISTOLOGIA EMBRYOLOGIA" 0.174 "VETERINARY_SCIENCE" 0.681 0.664
"JOURNAL OF AVIAN MEDICINE AND SURGERY" 0.167 "VETERINARY_SCIENCE" 0.688 0.7
"FISH PATHOLOGY" 0.165 "VETERINARY_SCIENCE" 0.695 0.65
"PAKISTAN VETERINARY JOURNAL" 0.163 "VETERINARY_SCIENCE" 0.702 0.679
"JOURNAL OF VETERINARY MEDICAL EDUCATION" 0.154 "VETERINARY_SCIENCE" 0.709 0.707
"ACTA VETERINARIA BRNO" 0.14 "VETERINARY_SCIENCE" 0.716 0.75
"IRANIAN JOURNAL OF VETERINARY RESEARCH" 0.133 "VETERINARY_SCIENCE" 0.723 0.8
"JOURNAL OF VETERINARY DENTISTRY" 0.131 "VETERINARY_SCIENCE" 0.73 0.714
"JOURNAL OF EXOTIC PET MEDICINE" 0.127 "VETERINARY_SCIENCE" 0.738 0.6
"JOURNAL OF ANIMAL AND PLANT SCIENCES" 0.125 "VETERINARY_SCIENCE" 0.745 0.779
"PESQUISA VETERINARIA BRASILEIRA" 0.125 "VETERINARY_SCIENCE" 0.752 0.757
"WIENER TIERARZTLICHE MONATSSCHRIFT" 0.122 "VETERINARY_SCIENCE" 0.759 0.829
"VETERINARSKI ARHIV" 0.12 "VETERINARY_SCIENCE" 0.766 0.807
"TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES" 0.119 "VETERINARY_SCIENCE" 0.773 0.736
"ACTA VETERINARIA-BEOGRAD" 0.117 "VETERINARY_SCIENCE" 0.78 0.836
"REVUE DE MEDECINE VETERINAIRE" 0.115 "VETERINARY_SCIENCE" 0.787 0.793
"SCHWEIZER ARCHIV FUR TIERHEILKUNDE" 0.11 "VETERINARY_SCIENCE" 0.794 0.743
"ISRAEL JOURNAL OF VETERINARY MEDICINE" 0.106 "VETERINARY_SCIENCE" 0.801 0.786
"" 0.104 "VETERINARY_SCIENCE" 0.809 NA
"INRA PRODUCTIONS ANIMALES" 0.1 "VETERINARY_SCIENCE" 0.816 0.771
"ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA" 0.1 "VETERINARY_SCIENCE" 0.823 0.843
"INTERNATIONAL JOURNAL OF APPLIED RESEARCH IN VETERINARY MEDICINE" 0.095 "VETERINARY_SCIENCE" 0.83 0.857
"ARCHIVOS DE MEDICINA VETERINARIA" 0.093 "VETERINARY_SCIENCE" 0.837 0.814
"KAFKAS UNIVERSITESI VETERINER FAKULTESI DERGISI" 0.089 "VETERINARY_SCIENCE" 0.844 0.85
"ANKARA UNIVERSITESI VETERINER FAKULTESI DERGISI" 0.087 "VETERINARY_SCIENCE" 0.851 0.871
"VLAAMS DIERGENEESKUNDIG TIJDSCHRIFT" 0.085 "VETERINARY_SCIENCE" 0.858 0.879
"IN PRACTICE" 0.072 "VETERINARY_SCIENCE" 0.865 0.914
"ACTA SCIENTIAE VETERINARIAE" 0.072 "VETERINARY_SCIENCE" 0.872 0.907
"VETERINARIA MEXICO" 0.069 "VETERINARY_SCIENCE" 0.879 0.821
"THAI JOURNAL OF VETERINARY MEDICINE" 0.066 "VETERINARY_SCIENCE" 0.887 0.893
"AUSTRAL JOURNAL OF VETERINARY SCIENCES" 0.061 "VETERINARY_SCIENCE" 0.894 1
"MEDYCYNA WETERYNARYJNA-VETERINARY MEDICINE-SCIENCE AND PRACTICE" 0.049 "VETERINARY_SCIENCE" 0.901 0.936
"SCANDINAVIAN JOURNAL OF LABORATORY ANIMAL SCIENCE" 0.046 "VETERINARY_SCIENCE" 0.908 0.886
"SLOVENIAN VETERINARY RESEARCH" 0.043 "VETERINARY_SCIENCE" 0.915 0.864
"PFERDEHEILKUNDE" 0.042 "VETERINARY_SCIENCE" 0.922 0.921
"JOURNAL OF CAMEL PRACTICE AND RESEARCH" 0.041 "VETERINARY_SCIENCE" 0.929 0.943
"CATTLE PRACTICE" 0.027 "VETERINARY_SCIENCE" 0.936 0.971
"REVISTA CIENTIFICA-FACULTAD DE CIENCIAS VETERINARIAS" 0.025 "VETERINARY_SCIENCE" 0.943 0.957
"JOURNAL OF THE HELLENIC VETERINARY MEDICAL SOCIETY" 0.023 "VETERINARY_SCIENCE" 0.95 0.9
"TIERAERZTLICHE UMSCHAU" 0.015 "VETERINARY_SCIENCE" 0.957 0.929
"MAGYAR ALLATORVOSOK LAPJA" 0.013 "VETERINARY_SCIENCE" 0.965 0.979
"KLEINTIERPRAXIS" 0.013 "VETERINARY_SCIENCE" 0.972 0.95
"TIJDSCHRIFT VOOR DIERGENEESKUNDE" 0.005 "VETERINARY_SCIENCE" 0.979 0.964
"FRONTIERS IN VETERINARY SCIENCE" 0 "VETERINARY_SCIENCE" 0.986 NA
"ANIMALS" 0 "VETERINARY_SCIENCE" 0.993 0.993
"VETERINARY MEDICINE AND SCIENCE" 0 "VETERINARY_SCIENCE" 1 NA
"ECONOMETRICA" 12.055 "SOCIOLOGY" 0.002 0.002
"REVIEW OF ECONOMICS AND STATISTICS" 5.945 "SOCIOLOGY" 0.004 0.004
"ANNUAL REVIEW OF SOCIOLOGY" 5.47 "SOCIOLOGY" 0.005 0.006
"AMERICAN SOCIOLOGICAL REVIEW" 4.578 "SOCIOLOGY" 0.007 0.008
"AMERICAN JOURNAL OF SOCIOLOGY" 3.624 "SOCIOLOGY" 0.009 0.011
"JOURNAL OF BUSINESS & ECONOMIC STATISTICS" 3.335 "SOCIOLOGY" 0.011 0.01
"STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL" 2.915 "SOCIOLOGY" 0.013 0.013
"SOCIOLOGICAL METHODS & RESEARCH" 2.879 "SOCIOLOGY" 0.015 0.015
"SOCIAL ISSUES AND POLICY REVIEW" 2.833 "SOCIOLOGY" 0.016 0.021
"JOURNAL OF ECONOMETRICS" 2.546 "SOCIOLOGY" 0.018 0.019
"FUTURE OF CHILDREN" 2.53 "SOCIOLOGY" 0.02 0.084
"AMERICAN JOURNAL OF BIOETHICS" 2.402 "SOCIOLOGY" 0.022 0.052
"SOCIOLOGY OF EDUCATION" 2.381 "SOCIOLOGY" 0.024 0.044
"PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH" 2.37 "SOCIOLOGY" 0.025 0.063
"JOURNAL OF APPLIED ECONOMETRICS" 2.367 "SOCIOLOGY" 0.027 0.017
"MULTIVARIATE BEHAVIORAL RESEARCH" 2.159 "SOCIOLOGY" 0.029 0.031
"JOURNAL OF PEASANT STUDIES" 2.148 "SOCIOLOGY" 0.031 0.038
"DEMOGRAPHY" 2.112 "SOCIOLOGY" 0.033 NA
"ECONOMETRIC THEORY" 2.08 "SOCIOLOGY" 0.035 0.033
"TRAUMA VIOLENCE & ABUSE" 2.063 "SOCIOLOGY" 0.036 0.055
"POPULATION AND DEVELOPMENT REVIEW" 2.044 "SOCIOLOGY" 0.038 0.054
"ECONOMETRICS JOURNAL" 1.966 "SOCIOLOGY" 0.04 0.057
"SOCIOLOGICAL METHODOLOGY" 1.96 "SOCIOLOGY" 0.042 0.023
"QME-QUANTITATIVE MARKETING AND ECONOMICS" 1.945 "SOCIOLOGY" 0.044 0.036
"ANNUAL REVIEW OF ANTHROPOLOGY" 1.941 "SOCIOLOGY" 0.045 0.04
"PSYCHOMETRIKA" 1.928 "SOCIOLOGY" 0.047 0.078
"JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS" 1.919 "SOCIOLOGY" 0.049 0.048
"MATHEMATICAL FINANCE" 1.887 "SOCIOLOGY" 0.051 0.025
"CULTURAL ANTHROPOLOGY" 1.877 "SOCIOLOGY" 0.053 0.096
"SOCIAL FORCES" 1.846 "SOCIOLOGY" 0.055 0.073
"STATA JOURNAL" 1.844 "SOCIOLOGY" 0.056 0.069
"JOURNAL OF HEALTH AND SOCIAL BEHAVIOR" 1.838 "SOCIOLOGY" 0.058 0.065
"PUBLIC OPINION QUARTERLY" 1.751 "SOCIOLOGY" 0.06 NA
"SOCIO-ECONOMIC REVIEW" 1.736 "SOCIOLOGY" 0.062 0.05
"FINANCE AND STOCHASTICS" 1.708 "SOCIOLOGY" 0.064 0.029
"SOCIAL PROBLEMS" 1.668 "SOCIOLOGY" 0.065 0.094
"JOURNAL OF CANCER SURVIVORSHIP" 1.66 "SOCIOLOGY" 0.067 0.08
"EVOLUTIONARY ANTHROPOLOGY" 1.634 "SOCIOLOGY" 0.069 0.042
"STUDIES IN FAMILY PLANNING" 1.628 "SOCIOLOGY" 0.071 NA
"GENDER & SOCIETY" 1.613 "SOCIOLOGY" 0.073 0.098
"POLITICS & SOCIETY" 1.567 "SOCIOLOGY" 0.075 0.09
"ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE" 1.562 "SOCIOLOGY" 0.076 NA
"SOCIAL NETWORKS" 1.548 "SOCIOLOGY" 0.078 0.071
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY" 1.533 "SOCIOLOGY" 0.08 0.061
"SOCIOLOGICAL THEORY" 1.517 "SOCIOLOGY" 0.082 0.059
"BRITISH JOURNAL OF SOCIOLOGY" 1.51 "SOCIOLOGY" 0.084 0.105
"JOURNAL OF MARRIAGE AND FAMILY" 1.472 "SOCIOLOGY" 0.085 0.109
"AMERICAN ETHNOLOGIST" 1.466 "SOCIOLOGY" 0.087 0.13
"JOURNAL OF MATHEMATICAL PSYCHOLOGY" 1.463 "SOCIOLOGY" 0.089 0.103
"EUROPEAN SOCIOLOGICAL REVIEW" 1.461 "SOCIOLOGY" 0.091 0.082
"HUMAN RELATIONS" 1.451 "SOCIOLOGY" 0.093 NA
"PSYCHOLOGY OF WOMEN QUARTERLY" 1.45 "SOCIOLOGY" 0.095 0.101
"JOURNAL OF ARCHAEOLOGICAL RESEARCH" 1.447 "SOCIOLOGY" 0.096 0.088
"JOURNAL OF HUMAN EVOLUTION" 1.433 "SOCIOLOGY" 0.098 0.092
"INTERNATIONAL MIGRATION REVIEW" 1.43 "SOCIOLOGY" 0.1 NA
"INFORMATION COMMUNICATION & SOCIETY" 1.409 "SOCIOLOGY" 0.102 0.099
"JOURNAL OF SOCIAL ISSUES" 1.409 "SOCIOLOGY" 0.104 0.111
"CURRENT ANTHROPOLOGY" 1.408 "SOCIOLOGY" 0.105 0.122
"AMERICAN BEHAVIORAL SCIENTIST" 1.375 "SOCIOLOGY" 0.107 NA
"JOURNAL OF POPULATION ECONOMICS" 1.352 "SOCIOLOGY" 0.109 NA
"ECONOMETRIC REVIEWS" 1.34 "SOCIOLOGY" 0.111 0.067
"INTERNATIONAL POLITICAL SOCIOLOGY" 1.321 "SOCIOLOGY" 0.113 0.12
"CHILD MALTREATMENT" 1.298 "SOCIOLOGY" 0.115 0.126
"JOURNAL OF EUROPEAN SOCIAL POLICY" 1.273 "SOCIOLOGY" 0.116 0.117
"PUBLIC CULTURE" 1.265 "SOCIOLOGY" 0.118 0.141
"THEORY AND SOCIETY" 1.264 "SOCIOLOGY" 0.12 0.086
"MIGRATION STUDIES" 1.24 "SOCIOLOGY" 0.122 NA
"SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION" 1.208 "SOCIOLOGY" 0.124 0.115
"SIAM JOURNAL ON FINANCIAL MATHEMATICS" 1.2 "SOCIOLOGY" 0.125 0.119
"INTERNATIONAL PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH" 1.192 "SOCIOLOGY" 0.127 NA
"PSYCHOLOGY OF VIOLENCE" 1.189 "SOCIOLOGY" 0.129 0.164
"POLITICS & GENDER" 1.171 "SOCIOLOGY" 0.131 0.229
"JOURNAL OF SEX RESEARCH" 1.159 "SOCIOLOGY" 0.133 NA
"JOURNAL OF DEMOGRAPHIC ECONOMICS" 1.138 "SOCIOLOGY" 0.135 NA
"HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE" 1.128 "SOCIOLOGY" 0.136 0.143
"ANNUAL REVIEW OF LAW AND SOCIAL SCIENCE" 1.115 "SOCIOLOGY" 0.138 0.155
"JOURNAL OF RESEARCH ON ADOLESCENCE" 1.112 "SOCIOLOGY" 0.14 0.149
"EUROPEAN JOURNAL OF POPULATION-REVUE EUROPEENNE DE DEMOGRAPHIE" 1.112 "SOCIOLOGY" 0.142 NA
"ECONOMY AND SOCIETY" 1.112 "SOCIOLOGY" 0.144 0.166
"POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY" 1.108 "SOCIOLOGY" 0.145 NA
"ARCHIVES OF SEXUAL BEHAVIOR" 1.094 "SOCIOLOGY" 0.147 NA
"SCIENCE TECHNOLOGY & HUMAN VALUES" 1.092 "SOCIOLOGY" 0.149 0.161
"EPJ DATA SCIENCE" 1.088 "SOCIOLOGY" 0.151 0.172
"SOCIAL SCIENCE RESEARCH" 1.086 "SOCIOLOGY" 0.153 0.159
"WORK AND OCCUPATIONS" 1.068 "SOCIOLOGY" 0.155 0.132
"ANNALS OF TOURISM RESEARCH" 1.059 "SOCIOLOGY" 0.156 0.153
"SEX ROLES" 1.057 "SOCIOLOGY" 0.158 0.22
"SIGNS" 1.046 "SOCIOLOGY" 0.16 0.245
"JOURNAL OF WOMENS HEALTH" 1.043 "SOCIOLOGY" 0.162 0.163
"SOCIAL POLITICS" 1.039 "SOCIOLOGY" 0.164 0.187
"CHILD ABUSE & NEGLECT" 1.038 "SOCIOLOGY" 0.165 0.17
"AMERICAN ANTHROPOLOGIST" 1.036 "SOCIOLOGY" 0.167 0.34
"RESEARCH IN SOCIAL STRATIFICATION AND MOBILITY" 1.031 "SOCIOLOGY" 0.169 0.18
"PATIENT EDUCATION AND COUNSELING" 1.03 "SOCIOLOGY" 0.171 NA
"SOUTH EUROPEAN SOCIETY AND POLITICS" 1.018 "SOCIOLOGY" 0.173 0.342
"WOMENS HEALTH ISSUES" 1.01 "SOCIOLOGY" 0.175 0.176
"JOURNAL OF ETHNIC AND MIGRATION STUDIES" 1.008 "SOCIOLOGY" 0.176 0.216
"NEW LEFT REVIEW" 1.006 "SOCIOLOGY" 0.178 NA
"OXFORD BULLETIN OF ECONOMICS AND STATISTICS" 1.001 "SOCIOLOGY" 0.18 0.107
"GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS" 0.999 "SOCIOLOGY" 0.182 0.304
"WORK EMPLOYMENT AND SOCIETY" 0.989 "SOCIOLOGY" 0.184 0.228
"ANALYSES OF SOCIAL ISSUES AND PUBLIC POLICY" 0.986 "SOCIOLOGY" 0.185 0.337
"QUALITATIVE RESEARCH" 0.985 "SOCIOLOGY" 0.187 0.124
"SOCIAL SERVICE REVIEW" 0.982 "SOCIOLOGY" 0.189 0.203
"JOURNAL OF WORLD PREHISTORY" 0.977 "SOCIOLOGY" 0.191 0.136
"JOURNAL OF MIXED METHODS RESEARCH" 0.976 "SOCIOLOGY" 0.193 NA
"AGRICULTURE AND HUMAN VALUES" 0.976 "SOCIOLOGY" 0.195 0.27
"MEN AND MASCULINITIES" 0.97 "SOCIOLOGY" 0.196 0.272
"MATHEMATICS AND FINANCIAL ECONOMICS" 0.97 "SOCIOLOGY" 0.198 0.992
"JOURNAL OF FAMILY PSYCHOLOGY" 0.966 "SOCIOLOGY" 0.2 0.189
"LANGUAGE IN SOCIETY" 0.959 "SOCIOLOGY" 0.202 0.207
"CULTURAL DIVERSITY & ETHNIC MINORITY PSYCHOLOGY" 0.95 "SOCIOLOGY" 0.204 0.243
"JOURNAL OF FAMILY THEORY & REVIEW" 0.943 "SOCIOLOGY" 0.205 0.983
"JOURNAL OF SAFETY RESEARCH" 0.941 "SOCIOLOGY" 0.207 NA
"CRITICAL SOCIAL POLICY" 0.94 "SOCIOLOGY" 0.209 0.285
"METHODOLOGY-EUROPEAN JOURNAL OF RESEARCH METHODS FOR THE BEHAVIORAL AND SOCIAL SCIENCES" 0.929 "SOCIOLOGY" 0.211 0.233
"JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE" 0.925 "SOCIOLOGY" 0.213 0.31
"LAW & SOCIETY REVIEW" 0.924 "SOCIOLOGY" 0.215 0.205
"SOCIOLOGY OF HEALTH & ILLNESS" 0.923 "SOCIOLOGY" 0.216 0.212
"JOURNAL OF HAPPINESS STUDIES" 0.922 "SOCIOLOGY" 0.218 NA
"QUALITATIVE SOCIOLOGY" 0.92 "SOCIOLOGY" 0.22 0.199
"MOBILIZATION" 0.916 "SOCIOLOGY" 0.222 0.39
"POETICS" 0.914 "SOCIOLOGY" 0.224 0.185
"POPULATION SPACE AND PLACE" 0.912 "SOCIOLOGY" 0.225 NA
"CURRENT SOCIOLOGY" 0.911 "SOCIOLOGY" 0.227 0.312
"JOURNAL OF ARCHAEOLOGICAL SCIENCE" 0.909 "SOCIOLOGY" 0.229 0.222
"POLICY SCIENCES" 0.897 "SOCIOLOGY" 0.231 NA
"JOURNAL OF ANTHROPOLOGICAL SCIENCES" 0.894 "SOCIOLOGY" 0.233 0.21
"SOCIAL SCIENCE COMPUTER REVIEW" 0.891 "SOCIOLOGY" 0.235 NA
"ETHNICITY & HEALTH" 0.891 "SOCIOLOGY" 0.236 0.279
"JOURNAL OF SOCIAL POLICY" 0.884 "SOCIOLOGY" 0.238 0.264
