"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, INDUSTRIAL','ENGINEERING, MANUFACTURING','ENGINEERING, MULTIDISCIPLINARY','FOOD SCIENCE & TECHNOLOGY','IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY','INSTRUMENTS & INSTRUMENTATION','MICROSCOPY','SPECTROSCOPY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
267,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,"26,349",1.433,0.027080,0.384
268,JOURNAL OF DAIRY RESEARCH,"3,069",1.421,0.001740,0.394
269,FIRE TECHNOLOGY,"1,317",1.420,0.001870,0.371
270,IISE Transactions,146,1.417,0.000650,0.589
271,Journal of Food Measurement and Characterization,741,1.415,0.001320,0.215
272,QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,"2,463",1.409,0.004190,0.416
273,RESEARCH-TECHNOLOGY MANAGEMENT,"1,191",1.407,0.000850,0.482
274,INTERNATIONAL JOURNAL OF FOOD PROPERTIES,"3,130",1.398,0.004100,0.240
275,JOURNAL OF ENGINEERING DESIGN,"1,044",1.394,0.000720,0.387
276,X-RAY SPECTROMETRY,"1,404",1.385,0.001220,0.291
277,FLAVOUR AND FRAGRANCE JOURNAL,"2,901",1.377,0.001210,0.381
278,Journal of Spectroscopy,626,1.376,0.001410,0.249
279,IEEE INDUSTRY APPLICATIONS MAGAZINE,943,1.373,0.000950,0.333
280,JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,690,1.372,0.000380,0.137
281,Journal of Zhejiang University-SCIENCE A,"1,752",1.369,0.001900,0.358
282,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,"7,002",1.367,0.003570,0.753
283,Journal of Instrumentation,"7,369",1.366,0.020750,0.425
284,JOURNAL OF FOOD QUALITY,"1,525",1.360,0.001480,0.282
285,JOURNAL OF FOOD BIOCHEMISTRY,"1,868",1.358,0.001400,0.227
286,Journal of Applied Remote Sensing,"2,521",1.344,0.004610,0.288
287,JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,"5,512",1.343,0.004390,0.544
288,MICROSCOPY RESEARCH AND TECHNIQUE,"4,726",1.327,0.002790,0.286
289,INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,573,1.319,0.000440,0.178
290,INTERNATIONAL JOURNAL OF CRASHWORTHINESS,"1,009",1.317,0.000920,0.282
291,Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,606,1.313,0.001230,0.342
292,BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,"12,501",1.297,0.007020,0.309
293,CEREAL CHEMISTRY,"6,560",1.289,0.002040,0.316
294,JOURNAL OF FOOD PROCESSING AND PRESERVATION,"3,279",1.288,0.004640,0.243
295,Acta Polytechnica Hungarica,920,1.286,0.000630,0.088
296,Bulletin of the Polish Academy of Sciences-Technical Sciences,"1,193",1.277,0.001330,0.194
297,Sensor Review,841,1.264,0.000830,0.260
298,ATOMIZATION AND SPRAYS,"1,410",1.262,0.001330,0.372
299,Defence Technology,464,1.261,0.001030,Not Available
300,PFG-Journal of Photogrammetry Remote Sensing and Geoinformation Science,39,1.259,0.000070,0.202
301,INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,813,1.254,0.000450,0.180
302,MAPAN-Journal of Metrology Society of India,326,1.250,0.000300,0.124
303,ENGINEERING COMPUTATIONS,"1,983",1.246,0.002090,0.296
304,SCANNING,"1,290",1.242,0.001260,0.286
305,JOURNAL OF ESSENTIAL OIL RESEARCH,"2,552",1.233,0.001170,0.254
306,MEASUREMENT & CONTROL,261,1.229,0.000220,0.139
307,Food Science and Technology,"1,046",1.223,0.002280,0.290
308,FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,"2,015",1.221,0.001220,0.311
308,International Journal of Computational Methods,904,1.221,0.001610,0.326
310,European Journal of Industrial Engineering,378,1.217,0.000440,0.193
311,ISSUES IN SCIENCE AND TECHNOLOGY,428,1.214,0.000990,0.471
312,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,"17,647",1.210,0.018280,0.362
313,Journal of Oleo Science,"1,932",1.208,0.002150,0.237
314,JOURNAL OF AOAC INTERNATIONAL,"5,167",1.201,0.003030,0.226
315,AGRICULTURAL AND FOOD SCIENCE,631,1.200,0.000810,0.435
315,JOURNAL OF NEAR INFRARED SPECTROSCOPY,"1,257",1.200,0.000760,0.248
317,ULTRASTRUCTURAL PATHOLOGY,849,1.198,0.000760,0.222
318,Industrial Robot-The International Journal of Robotics Research and Application,"1,241",1.190,0.000900,0.220
319,Cognition Technology & Work,796,1.188,0.000840,0.288
320,MATHEMATICAL PROBLEMS IN ENGINEERING,"11,092",1.179,0.023280,0.217
321,Quantitative InfraRed Thermography Journal,284,1.162,0.000320,0.296
322,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,"1,631",1.160,0.000830,0.317
323,JOURNAL OF FIRE SCIENCES,824,1.155,0.000590,0.297
