"Journal" "Ais" "Ford" "Quantile"
"JOURNAL OF EXOTIC PET MEDICINE" 0.241 "VET SCIS" 0.6
"JOURNAL OF VETERINARY MEDICAL SCIENCE" 0.24 "VET SCIS" 0.607
"CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE" 0.239 "VET SCIS" 0.614
"JOURNAL OF EQUINE VETERINARY SCIENCE" 0.228 "VET SCIS" 0.621
"EQUINE VETERINARY EDUCATION" 0.226 "VET SCIS" 0.629
"JOURNAL OF MEDICAL PRIMATOLOGY" 0.208 "VET SCIS" 0.636
"JOURNAL OF ZOO AND WILDLIFE MEDICINE" 0.201 "VET SCIS" 0.643
"FISH PATHOLOGY" 0.197 "VET SCIS" 0.65
"BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT" 0.196 "VET SCIS" 0.657
"ANATOMIA HISTOLOGIA EMBRYOLOGIA" 0.195 "VET SCIS" 0.664
"REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE" 0.187 "VET SCIS" 0.671
"PAKISTAN VETERINARY JOURNAL" 0.178 "VET SCIS" 0.679
"POLISH JOURNAL OF VETERINARY SCIENCES" 0.178 "VET SCIS" 0.686
"VETERINARNI MEDICINA" 0.178 "VET SCIS" 0.693
"JOURNAL OF AVIAN MEDICINE AND SURGERY" 0.174 "VET SCIS" 0.7
"JOURNAL OF VETERINARY MEDICAL EDUCATION" 0.165 "VET SCIS" 0.707
"JOURNAL OF VETERINARY DENTISTRY" 0.163 "VET SCIS" 0.714
"JOURNAL OF VETERINARY RESEARCH" 0.143 "VET SCIS" 0.721
"TIERARZTLICHE PRAXIS" 0.135 "VET SCIS" 0.729
"TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES" 0.135 "VET SCIS" 0.736
"SCHWEIZER ARCHIV FUR TIERHEILKUNDE" 0.133 "VET SCIS" 0.743
"ACTA VETERINARIA BRNO" 0.131 "VET SCIS" 0.75
"PESQUISA VETERINARIA BRASILEIRA" 0.126 "VET SCIS" 0.757
"BULLETIN OF THE VETERINARY INSTITUTE IN PULAWY" 0.123 "VET SCIS" 0.764
"INRA PRODUCTIONS ANIMALES" 0.123 "VET SCIS" 0.771
"JOURNAL OF ANIMAL AND PLANT SCIENCES" 0.122 "VET SCIS" 0.779
"ISRAEL JOURNAL OF VETERINARY MEDICINE" 0.117 "VET SCIS" 0.786
"REVUE DE MEDECINE VETERINAIRE" 0.11 "VET SCIS" 0.793
"IRANIAN JOURNAL OF VETERINARY RESEARCH" 0.109 "VET SCIS" 0.8
"VETERINARSKI ARHIV" 0.107 "VET SCIS" 0.807
"ARCHIVOS DE MEDICINA VETERINARIA" 0.102 "VET SCIS" 0.814
"VETERINARIA MEXICO" 0.102 "VET SCIS" 0.821
"WIENER TIERARZTLICHE MONATSSCHRIFT" 0.102 "VET SCIS" 0.829
"ACTA VETERINARIA-BEOGRAD" 0.097 "VET SCIS" 0.836
"ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA" 0.087 "VET SCIS" 0.843
"KAFKAS UNIVERSITESI VETERINER FAKULTESI DERGISI" 0.087 "VET SCIS" 0.85
"INTERNATIONAL JOURNAL OF APPLIED RESEARCH IN VETERINARY MEDICINE" 0.08 "VET SCIS" 0.857
"SLOVENIAN VETERINARY RESEARCH" 0.075 "VET SCIS" 0.864
"ANKARA UNIVERSITESI VETERINER FAKULTESI DERGISI" 0.074 "VET SCIS" 0.871
"VLAAMS DIERGENEESKUNDIG TIJDSCHRIFT" 0.074 "VET SCIS" 0.879
"SCANDINAVIAN JOURNAL OF LABORATORY ANIMAL SCIENCE" 0.068 "VET SCIS" 0.886
"THAI JOURNAL OF VETERINARY MEDICINE" 0.068 "VET SCIS" 0.893
"JOURNAL OF THE HELLENIC VETERINARY MEDICAL SOCIETY" 0.064 "VET SCIS" 0.9
"ACTA SCIENTIAE VETERINARIAE" 0.063 "VET SCIS" 0.907
"IN PRACTICE" 0.059 "VET SCIS" 0.914
"PFERDEHEILKUNDE" 0.052 "VET SCIS" 0.921
"TIERAERZTLICHE UMSCHAU" 0.043 "VET SCIS" 0.929
"MEDYCYNA WETERYNARYJNA-VETERINARY MEDICINE-SCIENCE AND PRACTICE" 0.042 "VET SCIS" 0.936
"JOURNAL OF CAMEL PRACTICE AND RESEARCH" 0.034 "VET SCIS" 0.943
"KLEINTIERPRAXIS" 0.032 "VET SCIS" 0.95
"REVISTA CIENTIFICA-FACULTAD DE CIENCIAS VETERINARIAS" 0.03 "VET SCIS" 0.957
"TIJDSCHRIFT VOOR DIERGENEESKUNDE" 0.019 "VET SCIS" 0.964
"CATTLE PRACTICE" 0.018 "VET SCIS" 0.971
"MAGYAR ALLATORVOSOK LAPJA" 0.012 "VET SCIS" 0.979
"ANIMAL HEALTH RESEARCH REVIEWS" 0 "VET SCIS" 0.986
"ANIMALS" 0 "VET SCIS" 0.993
"AUSTRAL JOURNAL OF VETERINARY SCIENCES" 0 "VET SCIS" 1
"NATURE CLIMATE CHANGE" 9.464 "SOC AND ECON GEOGR" 0.003
"REVIEW OF ENVIRONMENTAL ECONOMICS AND POLICY" 3.483 "SOC AND ECON GEOGR" 0.006
"ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES" 3.277 "SOC AND ECON GEOGR" 0.009
"PROGRESS IN HUMAN GEOGRAPHY" 2.935 "SOC AND ECON GEOGR" 0.012
"GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS" 2.784 "SOC AND ECON GEOGR" 0.015
"WORLD BANK RESEARCH OBSERVER" 2.278 "SOC AND ECON GEOGR" 0.018
"JOURNAL OF URBAN ECONOMICS" 2.169 "SOC AND ECON GEOGR" 0.021
"JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT" 2.061 "SOC AND ECON GEOGR" 0.024
"JOURNAL OF PEASANT STUDIES" 2.011 "SOC AND ECON GEOGR" 0.027
"WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE" 1.942 "SOC AND ECON GEOGR" 0.03
"RESEARCH POLICY" 1.877 "SOC AND ECON GEOGR" 0.033
"TRANSPORTATION SCIENCE" 1.83 "SOC AND ECON GEOGR" 0.036
"ECONOMIC GEOGRAPHY" 1.716 "SOC AND ECON GEOGR" 0.039
"JOURNAL OF ECONOMIC GEOGRAPHY" 1.684 "SOC AND ECON GEOGR" 0.042
"TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS" 1.628 "SOC AND ECON GEOGR" 0.045
"ECONOMIC DEVELOPMENT AND CULTURAL CHANGE" 1.569 "SOC AND ECON GEOGR" 0.048
"POLITICAL GEOGRAPHY" 1.476 "SOC AND ECON GEOGR" 0.051
"ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS" 1.449 "SOC AND ECON GEOGR" 0.054
"CHINA QUARTERLY" 1.443 "SOC AND ECON GEOGR" 0.057
"WORLD BANK ECONOMIC REVIEW" 1.419 "SOC AND ECON GEOGR" 0.06
"WORLD DEVELOPMENT" 1.379 "SOC AND ECON GEOGR" 0.063
"TRANSPORT REVIEWS" 1.365 "SOC AND ECON GEOGR" 0.066
"ENVIRONMENT AND PLANNING D-SOCIETY & SPACE" 1.359 "SOC AND ECON GEOGR" 0.069
"TRANSPORTATION RESEARCH PART B-METHODOLOGICAL" 1.359 "SOC AND ECON GEOGR" 0.072
"LONG RANGE PLANNING" 1.348 "SOC AND ECON GEOGR" 0.075
"ANNUAL REVIEW OF RESOURCE ECONOMICS" 1.34 "SOC AND ECON GEOGR" 0.078
"JOURNAL OF REGIONAL SCIENCE" 1.34 "SOC AND ECON GEOGR" 0.081
"POLICY SCIENCES" 1.337 "SOC AND ECON GEOGR" 0.084
"ANTIPODE" 1.308 "SOC AND ECON GEOGR" 0.087
"ENVIRONMENT AND BEHAVIOR" 1.283 "SOC AND ECON GEOGR" 0.09
"AFRICAN AFFAIRS" 1.272 "SOC AND ECON GEOGR" 0.093
"CULTURAL GEOGRAPHIES" 1.27 "SOC AND ECON GEOGR" 0.096
"LANDSCAPE AND URBAN PLANNING" 1.249 "SOC AND ECON GEOGR" 0.099
"JOURNAL OF ENVIRONMENTAL PSYCHOLOGY" 1.244 "SOC AND ECON GEOGR" 0.101
"ECOLOGY AND SOCIETY" 1.237 "SOC AND ECON GEOGR" 0.104
"ECOSYSTEM SERVICES" 1.233 "SOC AND ECON GEOGR" 0.107
"POST-SOVIET AFFAIRS" 1.211 "SOC AND ECON GEOGR" 0.11
"PROGRESS IN PLANNING" 1.202 "SOC AND ECON GEOGR" 0.113
"REGIONAL SCIENCE AND URBAN ECONOMICS" 1.192 "SOC AND ECON GEOGR" 0.116
"CAMBRIDGE JOURNAL OF REGIONS ECONOMY AND SOCIETY" 1.187 "SOC AND ECON GEOGR" 0.119
"GLOBAL ENVIRONMENTAL POLITICS" 1.178 "SOC AND ECON GEOGR" 0.122
"TRANSPORTATION" 1.178 "SOC AND ECON GEOGR" 0.125
"ORGANIZATION & ENVIRONMENT" 1.16 "SOC AND ECON GEOGR" 0.128
"ECOLOGICAL ECONOMICS" 1.144 "SOC AND ECON GEOGR" 0.131
"TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW" 1.109 "SOC AND ECON GEOGR" 0.134
"JOURNAL OF AGRARIAN CHANGE" 1.077 "SOC AND ECON GEOGR" 0.137
"FOOD POLICY" 1.07 "SOC AND ECON GEOGR" 0.14
"TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE" 1.063 "SOC AND ECON GEOGR" 0.143
"CLIMATE POLICY" 1.059 "SOC AND ECON GEOGR" 0.146
"LAND ECONOMICS" 1.04 "SOC AND ECON GEOGR" 0.149
"ENERGY JOURNAL" 1.038 "SOC AND ECON GEOGR" 0.152
"STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT" 1.028 "SOC AND ECON GEOGR" 0.155
"INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH" 1.017 "SOC AND ECON GEOGR" 0.158
"JOURNAL OF PLANNING LITERATURE" 1.016 "SOC AND ECON GEOGR" 0.161
"TOURISM MANAGEMENT" 1.007 "SOC AND ECON GEOGR" 0.164
"JOURNAL OF TRANSPORT GEOGRAPHY" 0.997 "SOC AND ECON GEOGR" 0.167
"ENERGY POLICY" 0.994 "SOC AND ECON GEOGR" 0.17
"JOURNAL OF THE AMERICAN PLANNING ASSOCIATION" 0.99 "SOC AND ECON GEOGR" 0.173
"ENVIRONMENT AND PLANNING A-ECONOMY AND SPACE" 0.986 "SOC AND ECON GEOGR" 0.176
"CHINA JOURNAL" 0.984 "SOC AND ECON GEOGR" 0.179
"JOURNAL OF SAFETY RESEARCH" 0.97 "SOC AND ECON GEOGR" 0.182
"REGIONAL STUDIES" 0.952 "SOC AND ECON GEOGR" 0.185
"DEVELOPMENT AND CHANGE" 0.947 "SOC AND ECON GEOGR" 0.188
"GEOFORUM" 0.941 "SOC AND ECON GEOGR" 0.191
"WEATHER CLIMATE AND SOCIETY" 0.931 "SOC AND ECON GEOGR" 0.194
"URBAN STUDIES" 0.927 "SOC AND ECON GEOGR" 0.197
"ENVIRONMENTAL POLITICS" 0.924 "SOC AND ECON GEOGR" 0.2
"MOBILITIES" 0.919 "SOC AND ECON GEOGR" 0.203
"POPULATION AND ENVIRONMENT" 0.915 "SOC AND ECON GEOGR" 0.206
"RESOURCE AND ENERGY ECONOMICS" 0.904 "SOC AND ECON GEOGR" 0.209
"POPULATION SPACE AND PLACE" 0.901 "SOC AND ECON GEOGR" 0.212
"APPLIED GEOGRAPHY" 0.898 "SOC AND ECON GEOGR" 0.215
"REGIONAL ENVIRONMENTAL CHANGE" 0.881 "SOC AND ECON GEOGR" 0.218
"NATURE + CULTURE" 0.875 "SOC AND ECON GEOGR" 0.221
"GEOGRAPHICAL JOURNAL" 0.853 "SOC AND ECON GEOGR" 0.224
"TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT" 0.852 "SOC AND ECON GEOGR" 0.227
"TRANSPORTMETRICA B-TRANSPORT DYNAMICS" 0.85 "SOC AND ECON GEOGR" 0.23
"URBAN GEOGRAPHY" 0.849 "SOC AND ECON GEOGR" 0.233
"COMPUTERS ENVIRONMENT AND URBAN SYSTEMS" 0.848 "SOC AND ECON GEOGR" 0.236
"EUROPEAN URBAN AND REGIONAL STUDIES" 0.846 "SOC AND ECON GEOGR" 0.239
"ENVIRONMENTAL & RESOURCE ECONOMICS" 0.845 "SOC AND ECON GEOGR" 0.242
"CITY & COMMUNITY" 0.822 "SOC AND ECON GEOGR" 0.245
"TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR" 0.822 "SOC AND ECON GEOGR" 0.248
"ACCIDENT ANALYSIS AND PREVENTION" 0.816 "SOC AND ECON GEOGR" 0.251
"BUSINESS STRATEGY AND THE ENVIRONMENT" 0.815 "SOC AND ECON GEOGR" 0.254
"TERRITORY POLITICS GOVERNANCE" 0.815 "SOC AND ECON GEOGR" 0.257
"URBAN EDUCATION" 0.81 "SOC AND ECON GEOGR" 0.26
"SOCIAL & CULTURAL GEOGRAPHY" 0.805 "SOC AND ECON GEOGR" 0.263
"JOURNAL OF HOUSING ECONOMICS" 0.802 "SOC AND ECON GEOGR" 0.266
"MODERN CHINA" 0.801 "SOC AND ECON GEOGR" 0.269
"TRANSPORT POLICY" 0.795 "SOC AND ECON GEOGR" 0.272
"THIRD WORLD QUARTERLY" 0.787 "SOC AND ECON GEOGR" 0.275
"ENVIRONMENT AND DEVELOPMENT ECONOMICS" 0.786 "SOC AND ECON GEOGR" 0.278
"CONSERVATION & SOCIETY" 0.77 "SOC AND ECON GEOGR" 0.281
"JOURNAL OF GEOGRAPHICAL SYSTEMS" 0.77 "SOC AND ECON GEOGR" 0.284
"GEOGRAPHICAL ANALYSIS" 0.767 "SOC AND ECON GEOGR" 0.287
"ECONOMICS OF ENERGY & ENVIRONMENTAL POLICY" 0.765 "SOC AND ECON GEOGR" 0.29
"ASIA PACIFIC VIEWPOINT" 0.763 "SOC AND ECON GEOGR" 0.293
"GEOPOLITICS" 0.76 "SOC AND ECON GEOGR" 0.296
"CARBON MANAGEMENT" 0.758 "SOC AND ECON GEOGR" 0.299
"URBAN AFFAIRS REVIEW" 0.754 "SOC AND ECON GEOGR" 0.301
"HARVARD ENVIRONMENTAL LAW REVIEW" 0.742 "SOC AND ECON GEOGR" 0.304
"JOURNAL OF DEVELOPMENT STUDIES" 0.741 "SOC AND ECON GEOGR" 0.307
"JOURNAL OF ENVIRONMENTAL POLICY & PLANNING" 0.737 "SOC AND ECON GEOGR" 0.31
"LAND USE POLICY" 0.735 "SOC AND ECON GEOGR" 0.313
"JOURNAL OF PLANNING EDUCATION AND RESEARCH" 0.729 "SOC AND ECON GEOGR" 0.316
"AREA" 0.725 "SOC AND ECON GEOGR" 0.319
"CRITICAL ASIAN STUDIES" 0.725 "SOC AND ECON GEOGR" 0.322
"ENVIRONMENT AND URBANIZATION" 0.722 "SOC AND ECON GEOGR" 0.325
"JOURNAL OF URBAN AFFAIRS" 0.717 "SOC AND ECON GEOGR" 0.328
"ENVIRONMENT AND PLANNING C-POLITICS AND SPACE" 0.709 "SOC AND ECON GEOGR" 0.331
"GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS" 0.707 "SOC AND ECON GEOGR" 0.334
"REAL ESTATE ECONOMICS" 0.703 "SOC AND ECON GEOGR" 0.337
"TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE" 0.697 "SOC AND ECON GEOGR" 0.34
"JOURNAL OF RURAL STUDIES" 0.694 "SOC AND ECON GEOGR" 0.343
"CLIMATE AND DEVELOPMENT" 0.69 "SOC AND ECON GEOGR" 0.346
"PLANNING THEORY" 0.688 "SOC AND ECON GEOGR" 0.349
"TRANSPORTMETRICA A-TRANSPORT SCIENCE" 0.68 "SOC AND ECON GEOGR" 0.352
"LATIN AMERICAN POLITICS AND SOCIETY" 0.677 "SOC AND ECON GEOGR" 0.355
"ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS" 0.674 "SOC AND ECON GEOGR" 0.358
"JOURNAL OF ENVIRONMENT & DEVELOPMENT" 0.67 "SOC AND ECON GEOGR" 0.361
"ENVIRONMENTAL IMPACT ASSESSMENT REVIEW" 0.66 "SOC AND ECON GEOGR" 0.364
"HOUSING STUDIES" 0.66 "SOC AND ECON GEOGR" 0.367
"INTERNATIONAL REGIONAL SCIENCE REVIEW" 0.658 "SOC AND ECON GEOGR" 0.37
"ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT" 0.656 "SOC AND ECON GEOGR" 0.373
"RESOURCES POLICY" 0.656 "SOC AND ECON GEOGR" 0.376
"CARTOGRAPHY AND GEOGRAPHIC INFORMATION SCIENCE" 0.653 "SOC AND ECON GEOGR" 0.379
"CITIES" 0.649 "SOC AND ECON GEOGR" 0.382
"JOURNAL OF TRANSPORT & HEALTH" 0.647 "SOC AND ECON GEOGR" 0.385
"URBAN FORESTRY & URBAN GREENING" 0.647 "SOC AND ECON GEOGR" 0.388
"ENVIRONMENT" 0.646 "SOC AND ECON GEOGR" 0.391
"PAPERS IN REGIONAL SCIENCE" 0.645 "SOC AND ECON GEOGR" 0.394
"SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY" 0.627 "SOC AND ECON GEOGR" 0.397
"HABITAT INTERNATIONAL" 0.625 "SOC AND ECON GEOGR" 0.4
"PROFESSIONAL GEOGRAPHER" 0.625 "SOC AND ECON GEOGR" 0.403
"CHILDRENS GEOGRAPHIES" 0.621 "SOC AND ECON GEOGR" 0.406
"INTERNATIONAL ENVIRONMENTAL AGREEMENTS-POLITICS LAW AND ECONOMICS" 0.621 "SOC AND ECON GEOGR" 0.409
"AFRICAN STUDIES REVIEW" 0.614 "SOC AND ECON GEOGR" 0.412
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE" 0.613 "SOC AND ECON GEOGR" 0.415
"HUMAN ECOLOGY" 0.602 "SOC AND ECON GEOGR" 0.418
"MARINE POLICY" 0.599 "SOC AND ECON GEOGR" 0.421
"HOUSING THEORY & SOCIETY" 0.596 "SOC AND ECON GEOGR" 0.424
"JOURNAL OF DEVELOPMENT EFFECTIVENESS" 0.596 "SOC AND ECON GEOGR" 0.427
"NATURAL HAZARDS REVIEW" 0.595 "SOC AND ECON GEOGR" 0.43
"SOCIETY & NATURAL RESOURCES" 0.591 "SOC AND ECON GEOGR" 0.433
"INTERNATIONAL JOURNAL OF THE COMMONS" 0.585 "SOC AND ECON GEOGR" 0.436
"INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION" 0.578 "SOC AND ECON GEOGR" 0.439
"INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES" 0.572 "SOC AND ECON GEOGR" 0.442
"JOURNAL OF CONTEMPORARY ETHNOGRAPHY" 0.571 "SOC AND ECON GEOGR" 0.445
"DISASTERS" 0.569 "SOC AND ECON GEOGR" 0.448
"DEVELOPMENT POLICY REVIEW" 0.567 "SOC AND ECON GEOGR" 0.451
"JOURNAL OF MODERN AFRICAN STUDIES" 0.566 "SOC AND ECON GEOGR" 0.454
"JOURNAL OF CONTEMPORARY ASIA" 0.562 "SOC AND ECON GEOGR" 0.457
"CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT" 0.556 "SOC AND ECON GEOGR" 0.46
"JOURNAL OF CONTEMPORARY CHINA" 0.55 "SOC AND ECON GEOGR" 0.463
"JOURNAL OF EASTERN AFRICAN STUDIES" 0.547 "SOC AND ECON GEOGR" 0.466
"JOURNAL OF ENVIRONMENTAL EDUCATION" 0.541 "SOC AND ECON GEOGR" 0.469
"TRANSACTIONS IN GIS" 0.538 "SOC AND ECON GEOGR" 0.472
"JOURNAL OF LATIN AMERICAN STUDIES" 0.535 "SOC AND ECON GEOGR" 0.475
"JOURNAL OF URBAN TECHNOLOGY" 0.534 "SOC AND ECON GEOGR" 0.478
"SOCIOLOGIA RURALIS" 0.531 "SOC AND ECON GEOGR" 0.481
"AFRICA" 0.519 "SOC AND ECON GEOGR" 0.484
"PACIFIC AFFAIRS" 0.515 "SOC AND ECON GEOGR" 0.487
"SUSTAINABLE DEVELOPMENT" 0.51 "SOC AND ECON GEOGR" 0.49
"SCIENCE AND PUBLIC POLICY" 0.509 "SOC AND ECON GEOGR" 0.493
